Country;Province;Date;Retail_Recreation;Grocery_Pharmarcy;Parks;Transit_Stations;Workplaces;Residential
Netherlands;Drenthe;2020-10-14;0;-5;137;-44;-36;8
Netherlands;Drenthe;2020-10-15;-15;-3;107;-46;-40;11
Netherlands;Drenthe;2020-10-16;-20;-3;89;-39;-38;9
Netherlands;Drenthe;2020-10-17;-27;-5;98;-25;-2;6
Netherlands;Drenthe;2020-10-18;-32;-9;60;-21;-2;5
Netherlands;Drenthe;2020-10-19;-10;0;120;-35;-25;8
Netherlands;Drenthe;2020-10-20;-10;2;103;-39;-23;8
Netherlands;Drenthe;2020-10-21;-16;-3;82;-36;-21;8
Netherlands;Drenthe;2020-10-22;-15;1;96;-34;-23;9
Netherlands;Drenthe;2020-10-23;-18;3;64;-33;-18;7
Netherlands;Drenthe;2020-10-24;-25;-2;57;-28;1;7
Netherlands;Drenthe;2020-10-25;-30;-6;12;-33;2;5
Netherlands;Drenthe;2020-10-26;-9;1;62;-36;-22;8
Netherlands;Drenthe;2020-10-27;-12;0;57;-38;-21;8
Netherlands;Drenthe;2020-10-28;-17;0;54;-37;-19;8
Netherlands;Drenthe;2020-10-29;-20;-1;30;-40;-22;9
Netherlands;Drenthe;2020-10-30;-26;-4;0;-38;-19;9
Netherlands;Drenthe;2020-10-31;-25;-2;46;-33;-1;7
Netherlands;Drenthe;2020-11-01;-36;-9;19;-32;-5;5
Netherlands;Drenthe;2020-11-02;-16;-4;35;-38;-22;8
Netherlands;Drenthe;2020-11-03;-13;-2;59;-37;-20;8
Netherlands;Drenthe;2020-11-04;-18;-3;63;-35;-18;7
Netherlands;Drenthe;2020-11-05;-24;-3;31;-39;-22;9
Netherlands;Drenthe;2020-11-06;-26;0;27;-36;-18;8
Netherlands;Drenthe;2020-11-07;-29;-2;60;-33;-3;7
Netherlands;Drenthe;2020-11-08;-29;-1;79;-22;-4;4
Netherlands;Drenthe;2020-11-09;-16;-3;32;-41;-23;9
Netherlands;Drenthe;2020-11-10;-16;0;31;-40;-22;9
Netherlands;Drenthe;2020-11-11;-18;4;40;-37;-18;8
Netherlands;Drenthe;2020-11-12;-24;-7;19;-40;-22;9
Netherlands;Drenthe;2020-11-13;-25;-1;11;-36;-17;8
Netherlands;Drenthe;2020-11-14;-30;-3;12;-39;-5;8
Netherlands;Drenthe;2020-11-15;-40;-10;12;-35;-8;5
Netherlands;Drenthe;2020-11-16;-19;-7;11;-37;-21;8
Netherlands;Drenthe;2020-11-17;-17;-4;22;-38;-19;8
Netherlands;Drenthe;2020-11-18;-17;-1;61;-33;-17;7
Netherlands;Drenthe;2020-11-19;-22;-5;6;-41;-20;9
Netherlands;Drenthe;2020-11-20;-20;2;15;-34;-16;8
Netherlands;Drenthe;2020-11-21;-28;-3;-4;-40;-4;7
Netherlands;Drenthe;2020-11-22;-32;-5;33;-25;-4;4
Netherlands;Drenthe;2020-11-23;-9;-1;37;-38;-20;7
Netherlands;Drenthe;2020-11-24;-9;4;30;-37;-19;8
Netherlands;Drenthe;2020-11-25;-14;1;42;-36;-16;7
Netherlands;Drenthe;2020-11-26;-16;1;18;-39;-19;8
Netherlands;Drenthe;2020-11-27;-17;4;5;-35;-16;7
Netherlands;Drenthe;2020-11-28;-24;-1;9;-36;-3;6
Netherlands;Drenthe;2020-11-29;-23;-2;27;-29;-2;4
Netherlands;Drenthe;2020-11-30;-14;-6;1;-41;-20;8
Netherlands;Drenthe;2020-12-01;-12;0;12;-37;-18;8
Netherlands;Drenthe;2020-12-02;-14;1;19;-36;-16;7
Netherlands;Drenthe;2020-12-03;-18;2;-5;-39;-18;8
Netherlands;Drenthe;2020-12-04;-20;5;5;-35;-15;7
Netherlands;Drenthe;2020-12-05;-30;-2;4;-23;0;6
Netherlands;Drenthe;2020-12-06;-42;-12;-24;-16;-5;5
Netherlands;Drenthe;2020-12-07;-18;-7;-7;-40;-20;8
Netherlands;Drenthe;2020-12-08;-12;-1;17;-38;-17;8
Netherlands;Drenthe;2020-12-09;-19;-3;13;-37;-16;7
Netherlands;Drenthe;2020-12-10;-21;-3;4;-39;-18;8
Netherlands;Drenthe;2020-12-11;-25;0;1;-37;-16;8
Netherlands;Drenthe;2020-12-12;-30;-2;0;-23;-3;7
Netherlands;Drenthe;2020-12-13;-38;-5;-2;-17;-5;5
Netherlands;Drenthe;2020-12-14;29;29;6;-37;-19;6
Netherlands;Drenthe;2020-12-15;-43;-9;-2;-45;-22;10
Netherlands;Drenthe;2020-12-16;-43;-7;29;-52;-33;11
Netherlands;Drenthe;2020-12-17;-46;-7;3;-55;-36;13
Netherlands;Drenthe;2020-12-18;-48;-5;14;-51;-35;12
Netherlands;Drenthe;2020-12-19;-55;-8;24;-36;-11;9
Netherlands;Drenthe;2020-12-20;-48;-6;20;-41;-9;6
Netherlands;Drenthe;2020-12-21;-33;12;37;-62;-48;14
Netherlands;Drenthe;2020-12-22;-30;24;47;-58;-49;14
Netherlands;Drenthe;2020-12-23;-35;25;13;-58;-48;14
Netherlands;Drenthe;2020-12-24;-35;25;44;-58;-59;17
Netherlands;Drenthe;2020-12-25;-83;-83;23;-73;-81;20
Netherlands;Drenthe;2020-12-26;-82;-68;6;-50;-37;10
Netherlands;Drenthe;2020-12-27;-66;-31;-60;-53;-17;7
Netherlands;Drenthe;2020-12-28;-32;9;90;-60;-62;17
Netherlands;Drenthe;2020-12-29;-39;7;38;-64;-61;18
Netherlands;Drenthe;2020-12-30;-33;23;82;-58;-59;16
Netherlands;Drenthe;2020-12-31;-45;8;46;-58;-68;16
Netherlands;Drenthe;2021-01-01;-80;-85;7;-71;-81;21
Netherlands;Drenthe;2021-01-02;-65;-18;9;-52;-22;12
Netherlands;Drenthe;2021-01-03;-53;-20;13;-47;-10;7
Netherlands;Drenthe;2021-01-04;-43;-9;2;-60;-37;14
Netherlands;Drenthe;2021-01-05;-47;-11;3;-58;-36;14
Netherlands;Drenthe;2021-01-06;-48;-9;12;-55;-34;13
Netherlands;Drenthe;2021-01-07;-51;-12;-12;-58;-35;14
Netherlands;Drenthe;2021-01-08;-51;-9;-4;-52;-32;13
Netherlands;Drenthe;2021-01-09;-56;-10;16;-40;-11;10
Netherlands;Drenthe;2021-01-10;-51;-16;16;-41;-7;6
Netherlands;Drenthe;2021-01-11;-44;-11;-4;-56;-34;12
Netherlands;Drenthe;2021-01-12;-44;-10;20;-53;-33;12
Netherlands;Drenthe;2021-01-13;-48;-13;14;-53;-32;11
Netherlands;Drenthe;2021-01-14;-50;-13;12;-54;-36;13
Netherlands;Drenthe;2021-01-15;-52;-12;-7;-50;-33;12
Netherlands;Drenthe;2021-01-16;-59;-14;8;-36;-13;10
Netherlands;Drenthe;2021-01-17;-58;-26;-12;-30;-12;7
Netherlands;Flevoland;2020-02-15;-2;-3;4;5;-1;0
Netherlands;Flevoland;2020-02-16;-17;-13;-30;-9;-7;1
Netherlands;Flevoland;2020-02-17;0;-6;3;-14;-19;3
Netherlands;Flevoland;2020-02-18;6;-2;30;-13;-18;3
Netherlands;Flevoland;2020-02-19;2;-7;27;-15;-18;2
Netherlands;Flevoland;2020-02-20;-2;-5;3;-16;-20;3
Netherlands;Flevoland;2020-02-21;4;-1;21;-11;-21;2
Netherlands;Flevoland;2020-02-22;-4;-3;0;5;-4;0
Netherlands;Flevoland;2020-02-23;-7;-6;-21;-5;-5;1
Netherlands;Flevoland;2020-02-24;-3;-5;-3;-3;-1;2
Netherlands;Flevoland;2020-02-25;13;10;37;2;1;0
Netherlands;Flevoland;2020-02-26;5;4;16;1;1;0
Netherlands;Flevoland;2020-02-27;2;1;-4;3;1;1
Netherlands;Flevoland;2020-02-28;5;5;10;3;0;0
Netherlands;Flevoland;2020-02-29;3;2;-2;12;0;1
Netherlands;Flevoland;2020-03-01;7;-2;9;11;-2;0
Netherlands;Flevoland;2020-03-02;-3;-3;-16;0;2;1
Netherlands;Flevoland;2020-03-03;9;2;33;-1;1;0
Netherlands;Flevoland;2020-03-04;4;1;43;-2;3;0
Netherlands;Flevoland;2020-03-05;-4;-2;-1;-5;2;1
Netherlands;Flevoland;2020-03-06;4;3;5;-2;1;0
Netherlands;Flevoland;2020-03-07;5;-1;67;7;2;-1
Netherlands;Flevoland;2020-03-08;-1;0;-7;-4;-1;1
Netherlands;Flevoland;2020-03-09;0;0;1;-6;2;1
Netherlands;Flevoland;2020-03-10;-4;-2;2;-4;0;2
Netherlands;Flevoland;2020-03-11;1;2;32;-4;0;1
Netherlands;Flevoland;2020-03-12;-4;11;3;-7;-2;2
Netherlands;Flevoland;2020-03-13;-5;27;-3;-22;-8;5
Netherlands;Flevoland;2020-03-14;-11;12;27;-22;-4;5
Netherlands;Flevoland;2020-03-15;-24;13;13;-31;-11;5
Netherlands;Flevoland;2020-03-16;-16;18;50;-49;-38;14
Netherlands;Flevoland;2020-03-17;-21;11;72;-56;-44;16
Netherlands;Flevoland;2020-03-18;-29;4;59;-55;-45;16
Netherlands;Flevoland;2020-03-19;-34;1;23;-60;-48;19
Netherlands;Flevoland;2020-03-20;-36;-2;17;-59;-45;18
Netherlands;Flevoland;2020-03-21;-40;-8;55;-51;-24;12
Netherlands;Flevoland;2020-03-22;-50;-16;52;-55;-32;9
Netherlands;Flevoland;2020-03-23;-30;-7;30;-65;-50;18
Netherlands;Flevoland;2020-03-24;-35;-9;61;-66;-53;20
Netherlands;Flevoland;2020-03-25;-40;-12;79;-65;-52;18
Netherlands;Flevoland;2020-03-26;-41;-12;49;-67;-53;21
Netherlands;Flevoland;2020-03-27;-42;-12;55;-63;-50;19
Netherlands;Flevoland;2020-03-28;-46;-16;39;-56;-29;13
Netherlands;Flevoland;2020-03-29;-56;-25;-5;-63;-34;10
Netherlands;Flevoland;2020-03-30;-37;-20;10;-68;-53;19
Netherlands;Flevoland;2020-03-31;-33;-13;86;-64;-53;19
Netherlands;Flevoland;2020-04-01;-39;-16;53;-65;-51;18
Netherlands;Flevoland;2020-04-02;-41;-15;21;-66;-53;21
Netherlands;Flevoland;2020-04-03;-41;-11;24;-64;-49;19
Netherlands;Flevoland;2020-04-04;-40;-14;61;-50;-28;12
Netherlands;Flevoland;2020-04-05;-42;-15;99;-46;-31;8
Netherlands;Flevoland;2020-04-06;-28;-15;67;-62;-51;18
Netherlands;Flevoland;2020-04-07;-26;-8;107;-60;-51;18
Netherlands;Flevoland;2020-04-08;-29;-8;128;-58;-49;16
Netherlands;Flevoland;2020-04-09;-31;-2;90;-60;-51;18
Netherlands;Flevoland;2020-04-10;-30;-4;87;-61;-55;18
Netherlands;Flevoland;2020-04-11;-36;-4;91;-43;-24;10
Netherlands;Flevoland;2020-04-12;-63;-33;96;-49;-32;8
Netherlands;Flevoland;2020-04-13;-53;-42;48;-77;-86;27
Netherlands;Flevoland;2020-04-14;-33;-11;43;-63;-49;18
Netherlands;Flevoland;2020-04-15;-31;-12;102;-58;-47;16
Netherlands;Flevoland;2020-04-16;-34;-8;95;-60;-48;18
Netherlands;Flevoland;2020-04-17;-34;-9;76;-58;-45;17
Netherlands;Flevoland;2020-04-18;-40;-11;59;-42;-19;11
Netherlands;Flevoland;2020-04-19;-42;-18;110;-43;-21;7
Netherlands;Flevoland;2020-04-20;-27;-13;66;-59;-48;17
Netherlands;Flevoland;2020-04-21;-28;-9;91;-60;-48;18
Netherlands;Flevoland;2020-04-22;-31;-8;117;-54;-45;15
Netherlands;Flevoland;2020-04-23;-31;-6;125;-57;-47;17
Netherlands;Flevoland;2020-04-24;-30;-4;89;-56;-44;15
Netherlands;Flevoland;2020-04-25;-31;-4;71;-35;-16;9
Netherlands;Flevoland;2020-04-26;-29;-6;123;-40;-20;6
